Organization,abstract,address,bidders,categories,closing_date,competitionNumber,linkTo,status,title
,,,,,,,,,
"Breaugh, Meghan","Viewing copy - For more information on this call, please click on the viewing copy attachment in the Notes section above.  
 
Bids will only be accepted from the following vendors that have pre-qualified under Request for Pre-qualification No. 1201-14-5054 (Electrical Contractors for Electrical Traffic Control Device) Part A: Weinmann Electric Limited; TM3 Inc.; Guild Electric Limited; Black & McDonald Limited; Tristar Electric Inc.; Beacon Utility Contractors Limited; Fellmore Electrical Contractors Ltd.  
 
Drawings are to be picked up at the City Hall Tender Office, located at 100 Queen Street West, 19th Floor, West Tower, Toronto, ON   M5H 2N2. 
 
Security Deposit: 10% of Total Bid Price 
 
Supply and Installation of Accessible Pedestrian Signals. 
Project Location and District: 
 
1. Pharmacy Avenue & Surrey Avenue (PX0688) – Scarborough 
2. Kennedy Road & Bertrand Avenue (PX1057) - Scarborough 
3. Danforth Road & 18m South of Winter Avenue (PX1509) - Scarborough 
4. Steeles Avenue West & Private Access (Approx. 225m East of Alness Street) (PX2038) – North York 
5. Leslie Street & 67m South of Dexter Boulevard (PX1299) – North York 
6. The West Mall & Civic Centre Court (PX1525) - Etobicoke 
 
The Contractor shall be responsible for the installation of all required underground duct, handwells, ground plates, pole bases, poles, and controller base. The Contractor is also responsible for the installation of all above ground traffic signal plant, APS units and pavement markings. 
 
The Contractor shall also be responsible for the installation of concrete sidewalks, pedestrian ramps and other civil improvements related to the installation of the Accessible Pedestrian Signals. 
 
Access to Toronto Hydro chambers and/or other confined spaces may be required as part of this work at some locations. The contractor must produce valid proof of certification from Toronto Hydro to the City of Toronto prior to awarding of contract. 
 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed by July 31, 2019. 
 
On a location basis, all site restorations, clean-up and the rectification of any and all deficiencies are to be completed 90 days after the activation.
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Electrical services","February 19, 2019",28-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/92A16515B9A39E95852583970071019D/$file/28-2019Notice.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/92A16515B9A39E95852583970071019D/$file/28-2019 Vendor Viewing Copy.pdf",***,Supply and Installation of Accessible Pedestrian Signals
,,,,,,,,,
"Parker, Max","This Tender Is For The Pre-Qualified Bidders Only. That Have Pre-Qualified From RTP No. 1201-17-5075.  
Refer To Section 2, Article 2 Of This Tender Document. 
 
SCOPE OF THE WORK 
 
1.	Technical Requirements 
 
1.1.	Electrical 
 
1.1.1.	Provide a total of four (4) new natural gas generators, complete with enclosures and associated components; three (3) stand-by 1350kW and one (1) life safety 750kW on West Tower 20th Floor 
1.1.2.	Disconnect and make safe three (3) existing diesel generators. 
1.1.3.	Provide one (1) new splitter for stand-by generators distribution. 
1.1.4.	Provide teck cable feeders from stand-by generators to splitter. 
1.1.5.	Provide bus duct feeders from splitter on West Tower 20th Floor to Main Utility Switchgear in the basement. 
1.1.6.	Provide two (2) new switchboards for life safety system distribution; one for West Tower 20th Floor and one for East Tower 26th floor. 
1.1.7.	Provide MI cable feeders between life safety switchgears on West Tower 20th Floor and new automatic transfer switches on East Tower 26th floor. 
1.1.8.	Replace three (3) automatic transfer switches, one for West Tower 20th Floor and two for East Tower 26th floor for life safety system. 
1.1.9.	Provide short circuit, coordination & arch flash studies. 
1.1.10.	Provide craning services for lifting four (4) new natural gas generators, complete with enclosures and associated components, steel platforms and other equipment as required to West Tower 20th Floor. 
 
1.2.	Mechanical 
 
1.2.1.	Remove and dispose existing four (4) cooling towers and associated pipes, connections and support structures from West Tower 20th Floor. 
1.2.2.	Provide gas pipes, connections and support structures from new Enbridge Gas station to generators on West Tower 20th Floor. 
1.2.3.	Provide fire wrap for gas pipes for life safety generator from new Enbridge Gas station to generator on West Tower 20th Floor. 
1.2.4.	Provide two (2) fire rated ventilation openings inside mechanical shaft containing the gas pipes for generators. 
1.2.5.	Provide hydronic pipes and fittings between generator engines and remote radiators. 
1.2.6.	Provide exhaust pipes and fittings from generator engine exhausts to above the West Tower roof. 
1.2.7.	Provide craning services for removal/disposal of four cooling towers, steel platforms and associated components from West Tower 20th Floor. 
 
1.3.	Architectural/Structural 
 
1.3.1.	Remove and dispose existing steel platform associated with four (4) existing cooling towers from West Tower 20th Floor. 
1.3.2.	Provide structural steel work and metal fabrication for four (4) new gas generator platforms on West Tower 20th Floor. 
1.3.3.	Provide stairs, handrails, and guardrails for four (4) new gas generator platforms on West Tower 20th Floor. 
1.3.4.	Provide waterproofing of West Tower 20th Floor as required for the installation of new gas generator platforms. 
1.3.5.	Provide concrete pad and enclosure for new Enbridge Gas station. 
 
2.	Specific Requirements 
 
2.1.	The facility is in operation 24 hours a day and 7 days a week. Regular business hours of operation is 7:00 a.m. to 10:00 p.m., five (5) days a week (Monday - Friday). Therefore, any construction work must not impact facility operations during regular business hours of operations. 
 
2.2.	All construction work undertaken shall not contravene the requirements of local noise and pollution by-laws and all other regulatory requirements. Any construction work that requires drilling, cutting, coring or hammering, must be undertaken after-hours (10:00 pm – 7:00 am) and/or weekends. No additional or overtime charges will be paid for the work performed after-hours and/or weekends. 
 
2.3.	All power shutdowns, facility systems shutdowns and systems changeovers are to be undertaken after-hours (10:00 pm – 7:00 am) and/or weekends. No additional or overtime charges will be paid for the work performed after-hours and/or weekends. 
 
2.4.	The Successful Bidder shall assign a project manager to the construction project in addition to site supervisor and support staff. The project manager will be the main point of contact for the City and for the consultant on this project, shall maintain complete involvement, coordinate with all stakeholders (internal and external to the City) and attend regular construction progress on-site bi-weekly meetings. 
 
2.5.	All work plans and schedules shall be presented to the Consultant, the City and all stakeholders for review, four weeks in advance, in order to establish an acceptable work plans and schedules. The proposed construction schedule shall include two independent construction work areas for each work period. The City shall approve one or both construction work areas. Contractor shall provide and maintain a two week look ahead schedule for work areas for the duration of the construction. 
 
2.6.	The Successful Bidder shall coordinate with the Consultant, the City and all stakeholders, internal and external to the City, prepare Method of Procedures (MOPs) for all power shutdowns, facility systems shutdowns and systems changeovers and submit for review, three weeks in advance. 
 
2.7.	Investigate the existing system, associated components and all tie-ins to the existing systems, sub-systems and facility for the scope of work in the contract. Identify exiting damages, non-functionality of equipment, systems and subsystems. Investigate for code compliance and approval requirements from Authorities having jurisdiction for the scope of work in the contract. Provide a Report of Findings & Recommendations to the Consultant & the City within four weeks, upon award of the contract. 
 
2.8.	The Successful Bidder shall coordinate with all government departments & agencies, authorities having jurisdictions and utilities such as the City's Building Department, ESA, TSSA, Toronto Hydro, Enbridge Gas, but not limited to, and organize all required inspections and approvals for the completion of construction work. It will be full responsibility of the Successful Bidders to ensure that all conditions of permits and approvals are met during construction work and all permits are closed. 
 
2.9.	The Successful Bidder is responsible to coordinate with other contractors at the facility and arrange for delineation in time and space as required for the completion of construction work. There could be multiple contractors performing work at the facility. No additional/overtime charges will be paid if the construction work is delayed because of coordination with other contractors performing work at the facility. 
 
2.10.	The Successful Bidder shall develop Construction Delineation Plan and implement to ensure that delineation in both time and space is established and maintained among two or more contractors. Additionally, ensure site coordination during construction work activities performed at the facility and that there is only one constructor (contractor) at the facility at any point in time in the construction work area. 
 
2.11.	The Successful Bidder shall coordinate with existing facility service contractors before power shutdowns, facility systems shutdowns and system changeovers and verify operational functionalities of systems/sub systems before and after power shutdowns, facility systems shutdowns and system changeovers. A list of service contractors will be provided to the Successful Bidder. 
 
2.12.	The Successful Bidder is responsible for any designated substance/asbestos removal required to facilitate the completion of the project. The City will arrange and pay for an independent consulting firm to oversee and supervise all abatement activities.  The Prime Consultant shall coordinate the work between the Contractor and the independent consulting firm and is responsible for overall delivery of the project. All abatement work will follow City Policies/Procedures and Ontario Reg. 278/05. 
 
2.13.	The Successful Bidder shall perform topographical/locate services to identify underground utilities & structures before commencement of all civil/structural work on site, whether by hand, machinery or other. 
 
2.14.	The Successful Bidder shall attend regular construction progress on-site bi-weekly meetings.  Sub-contractors must attend construction progress meetings to enable uninterrupted progress of the work. 
 
2.15.	The construction meeting agenda shall include but not limited to occupational health and safety, site coordination, construction schedule, two-week look-ahead schedule, work progress, submittals, request for information, site instructions, coordination with authorities having jurisdictions,  progress payment, change orders and other. 
 
2.16.	The Successful bidder shall provide one or more temporary power generators, temporary distribution equipment, temporary cables/connections & fuel to back up all life safety, emergency, essential and required systems as identified by facility operations during all power shutdowns at the facility, because of construction work. If power shutdowns to the facility occurs during regular business hours of operation, 7:00 am to 10:00 pm, during weekdays (Monday – Friday) because of construction work then provide one or more temporary power generators, temporary distribution equipment, temporary cables/connections & fuel to back up full load of the facility. 
 
2.17.	The Successful Bidder shall submit all close-out documents to the consultant & the City in electronic and printed copy formats within 45 days of the issuance of substantial certificate. Provide electronic copies of all close-out documents to the consultant for prior review. Close-out documents submission includes, but not limited to, table of contents, as-built record drawings in pdf & AutoCAD format, shop drawings in pdf format, new asset & equipment list with detailed information as per City Template, test & commissioning reports, operation & maintenance manuals, warranty information, permits & approvals closure, final completion letter by engineers, spare parts list, contacts of general contractor, contacts of local distributors/suppliers, other specific documents and picture (as-built, construction, test & commissioning). 
 
2.18.	The Successful Bidder shall provide warranty for all equipment, materials & workmanship for a period of two years from the date of substantial performance of the contract and correct all defects reported/observed within reasonable timeline without any cost to the City. Attend a site visit and record any defects observed/reported ninety (90) days prior to the expiry of warranty period. 
 
2.19.	The Successful Bidder shall prepare traffic control plan and submit to the Consultant, the City and all stakeholders for review, three weeks in advance, in order to establish an acceptable traffic control for road access and access to the facilities during the construction work at the facility. 
 
2.20.	The Successful Bidder shall arrange and pay for Fire Watch and/or Security Watch during construction work as required or asked by the City or by the Consultant. 
 
2.21.	The Successful Bidder shall arrange and pay for parking. On-site parking may be granted if available. All on-site parking requirements shall be coordinated with the City two weeks in advance. 
 
2.22.	The Successful Bidder shall maintain occupational health and safety, existing exits and ensure proper and safe means of egress at all time. 
 
DRAWINGS AND SPECIFICATIONS 
 
The Tender Specifications and Drawings are available on CD to the bidders who have purchased the tender document. Bidders may pick up a copy of the CD from the Purchasing and Materials Management Division offices, 19th floor, West Tower, 100 Queen Street West during regular business hours (8.30 a.m. to 4.30 p.m.). Proof of Tender purchase will be required to pick-up the CD. The bidders who have not purchased the Tender document will have to do so before being given a copy of the CD. 
 
Please see document for more details
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Electrical services","February 28, 2019",24-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2C8EC2656D2A69598525838C00713CB8/$file/Tender 24-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2C8EC2656D2A69598525838C00713CB8/$file/24-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2C8EC2656D2A69598525838C00713CB8/$file/24-2019 - Addendum No. 1.pdf",***,Construction Services
,,,,,,,,,
"Porcarelli, Michael","Security Deposit: 
 
Bid Bond in the amount of 7% of the quoted bid amount. 
 
Scope of Work	Watermain Replacement on: 
 
•	Brown’s Line from Evan’s Avenue to North of CNR Tracks (WV2101657) 
•	Twenty Seventh Street from Lake Shore Boulevard West to Lake Promenade 
 
Drawings/attachments are available on a CD for pickup from the Purchasing and Materials Management Division offices, 19th floor, West Tower, 100 Queen Street West during regular business hours (8.30 a.m. to 4.30 p.m.). Proof of Tender purchase will be required to pick-up the CD. The bidders who have not purchased the Tender document will have to do so before being given a copy of the CD. 
 
Please refer to Tender viewing document for complete details to this Request for Tender.  
  
Specific Conditions for Procurement:	Contractor must have completed three linear underground contract works with minimum value of $3 million each in last 5 years
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Watermains - Water Services","March 8, 2019",47-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/21287243C34E32968525839B0045F96E/$file/Tender 47-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/21287243C34E32968525839B0045F96E/$file/Tender 47-2019 Viewing Copy Only.pdf",***,"Supply, Delivery, Installation and Warranty of Water Meters and Various Appurtenances"
,,,,,,,,,
"Reid, Marie","NOTE: This call document is only available for purchase through the Purchasing & Materials Management Division Tender Office, located on the 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto ON, and is not available for purchase and download online.  
A non-refundable fee (shown above) in the form of cash, credit card (American Express, MasterCard, and Visa are accepted) or cheque payable to the Treasurer, City of Toronto, is required for each call document.  
Bidders must make their own arrangements for payment and pick-up of this call document. 
 
 
 
Contract No:  18ECS-MI-01HC 
 
Bid Bond Percentage:  2.5% 
 
Scope of Project: 
 
The Project includes the following major elements. 
.1	Significant and complex sequence of work constraints. 
.2	Staged demolition work that includes abatement of designated substances or hazardous materials 
.3	Rehabilitation of existing buildings, galleries, and structures. 
.4	Construction of new buildings and chemical storage tanks. 
.5	Significant mechanical work. 
.6	Plumbing and drainage work. 
.7	Significant piping and related process work. 
.8	Significant electrical work. 
.9	Significant I&C, SCADA programming and integration work. 
.10	Civil work. 
.12	Concrete work. 
.13	Architectural work. 
.14	Heating and ventilation (HVAC) work.
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Construction Services","March 28, 2019",324-2018,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/Summary notice_intended_procurement- Tender 324-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/Notice_intended_procurement- Tender 324-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/Addendum 1 - 324-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/324-2018 - Addendum No. 2.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/324-2018 - Addendum 2 - Attachment 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2F22F70636F5A71C8525837100525608/$file/324-2018 - Addendum 2 - Attachment 2.pdf",***,Liquid Train Upgrades - Highland Creek Treatment Plant
,,,,,,,,,
"Parker, Max","Scope of Work  
 
1.1.	General 
 
1.1.1.	The following is a general description of the scope of work to complete the natural gas generator installation.  For a detailed description of the technical aspects of the work, refer to the specification sections and contract drawings. 
1.1.2.	Notify and co-ordinate with Owner, Consultant, and Occupants, whenever work will effect operation of the building. 
1.1.3.	Contractor to ensure there will be no obstruction to the fire route and must coordinate any obstructions of the bay doors with the station captain during the construction work. Onsite parking for the contractor may be limited. If required, contractor may be asked to park off site at no additional cost to the contract. 
1.1.4.	Contractor to coordinate with the city and the fire station captain regarding access during proposed works. Contractor must call into Toronto Fire Service security daily on days the contractor wishes to work onsite to be granted access. Any issues with coordination of site access will not result in additional costs to the contract. 
1.1.5.	Contractor to locate all underground and above ground utilities and structures within vicinity of proposed works (exterior and interior) to minimize disruption during proposed works. 
1.1.6.	Once the Contract has been awarded, construction shall be carried out in one continuing operation, unless agreed to and approved by the City and Consultant at the time of such request. 
1.1.7.	The Contractor and his/her Sub-Contractors shall assume full responsibility for their equipment and all materials required for this project and shall store them in a locked secure area at the end of each work day. No equipment or materials shall be left in an open area unprotected at the end of each work day. 
1.1.8.	Work specified in the specification has been divided into technical sections for the purpose of ready reference. Division of work among subcontractors and suppliers is solely the contractor’s responsibility and the Contract Administrator assumes no responsibility to act as an arbitrator to establish subcontract limits between sections or divisions of work. 
1.1.9.	Prior to Tender submission examine the sites and surrounding areas and be fully informed as to the conditions and limitations under which the work has to be executed. Additional costs will not be entertained with respect to conditions which could reasonably have been ascertained by an inspection of the site prior to tender closing. 
1.1.10.	During the Contract duration, the Contractor is responsible to correct immediately, any interruption to essential services caused by his/her work whether they occur during the day or night, (business days or weekend and/or holidays). The maximum response time of two (2) hours is required. Other types of interruptions shall be corrected within 24 (twenty four) hours. Failure to respond within the specified time period shall render the Contractor responsible for payment of all changes incurred by the Owner when a third party has to be called to perform the necessary work. 
1.1.11.	Contractor to provide a 2 year full parts and labor warranty on all workmanship and equipment. 
1.1.12.	Contractor shall engage Enbridge within five business days of issuance of a Purchase Order for the natural gas station/regulator upgrades.  Project delays due to inadequate/delayed coordination with Enbridge will not be accepted.  Contractor to pay Enbridge directly for the natural gas station/regulator upgrades. Direct costs for the Enbridge upgrades will be taken from the cash allowance. 
1.1.13.	All coordination costs (Enbridge, ESA, THES, TFS, EMS, etc.) is to be included in the base bid. No coordination costs or markup will be accepted as contract extras. 
1.2.	Interpretation of Drawings and Specifications 
1.2.1.	In the event of any inconsistency or conflict in the contents of the documents, the drawings shall take precedence. 
1.2.2.	Dimensions on drawings when witnessed by lines and arrow points, shall take precedence over measurements by scale. 
1.2.3.	Larger scale drawings shall take precedence over those of smaller scale. Supplementary drawings and specifications supersede previous drawings and specifications. 
1.2.4.	Words, phrases and abbreviations that have a well-known technical or trade meaning shall have that meaning in these specifications and drawings. 
1.2.5.	In case of discrepancy between the drawings and specifications, figure dimensions on the drawings shall govern, except where the dimension depends on the dimension of a specified product in which case the dimensions of the product shall govern. 
1.2.6.	All cases of discrepancy shall be referred to the Consultant who shall make decisions in writing.  The decisions shall be consistent with the evident meaning and intention of the drawings and specifications and the above paragraphs. 
1.2.7.	The location of undimensioned fixtures, outlets, conduits, piping, etc., is shown approximate.  The Contractor shall confirm actual location(s) to suit job conditions as approved by the Consultant. 
1.2.8.	Dimensions provided on Contract Drawings and Schedules are approximate. Contractor is to verify dimensions. 
1.3.	Scope of Work 
This work shall include, but not necessarily be limited to the short summary below: 
1.3.1.	Labour, material and equipment to complete work of Contract in conformity with Contract Documents and Construction Schedule. 
1.3.2.	Permits, inspections, tests, and systems verifications. Demolition, relocation, and removal of existing equipment and services to complete Work. 
1.3.3.	Delivery, receiving, inspection at time of delivery, unloading, and hoisting of materials and equipment. 
1.3.4.	Clean-up of materials and garbage on daily basis or as directed, and removal of unused equipment/materials from site. 
1.3.5.	The contractor shall install a new natural gas standby generator set complete with new weathertight enclosure. 
1.3.6.	Building temporary power is not anticipated to be required by the contractor during the time of reconnection from existing power distribution system to new power distribution system (less than 4 hour outage). Contractor must provide city PM 10 business day advance notice of any power outages so that temporary power can be arranged at an additional cost if the fire chief deems it necessary to maintain operation at the fire station during the time of reconnection. 
1.3.7.	Disconnect, remove and/or relocate all existing services and/or equipment and reconnect where necessary. 
1.3.8.	All disturbed areas are to be restored to match existing conditions or better. 
1.3.9.	The contractor shall build new generator pad including bollards and/or fenced enclosure as specified in the contract drawings complete with landscaping. 
1.3.10.	The contractor shall provide and install all equipment indicated in the contract drawings. The contractor shall set up and commission all systems and provide ready to operate power distribution and standby power system capable to operate under all applicable standards and regulatory requirements.  
1.3.11.	Contractor shall provide concrete pad and bollards for generator set per structural details. 
1.3.12.	Contractor shall provide all bollard covers per architectural details. 
1.3.13.	Provide al power and control wiring complete with associated raceways and supports to accommodate new generator. 
1.3.14.	Contractor shall rework and provide all natural gas delivery piping complete with associated supports to accommodate new generator set. 
1.3.15.	Contractor shall coordinate with Enbridge to upgrade the existing service and meter per tender documents. 
1.3.16.	The contractor shall supply and install updated lamacoid labels and updated panel schedules for all existing/new electrical equipment within the electrical room. 
1.3.17.	Electrical contractor to provide power and controls as required by mechanical trade. 
1.3.18.	The contractor shall provide and install complete natural gas piping system for generator from Enbridge modified gas station.  The contractor shall pay for and coordinate the installation of the Enbridge modified gas station directly with Enbridge to ensure minimal disruption to the facility. 
1.3.19.	The contractor shall supply and install fire stopping materials and penetration seals to maintain the required fire-resistance rating of existing/new walls and structures. 
1.4.	Working Hours 
1.4.1.	Normal working hours are from 7:00 a.m. to 5:00 p.m. Monday to Friday.  
1.4.2.	All noisy and/or odorous work must be completed outside of normal working hours, 
1.4.3.	Shutdown of services will not be permitted without the approval of Toronto Fire Services and must have a minimum of three (3) days' notice. Toronto Fire Services the right to stop any disruptive work and request to have this work completed at a different time at no extra cost.  
1.5.	            Commencement and completion Date. 
1.5.1.	The start date of this contract is immediately upon receipt of purchase order, following the award of the contract. Award is conditional on all approvals, bonding, and insurance being in place. Continuous and progressive operation shall be carried out until the work is completed. The date of substantial performance for construction shall be 24 weeks from the date of the purchase order, and the deemed completion date shall be 26 weeks from the date of the purchase order.  
1.5.2.	The contractor shall be responsible to provide all the forces necessary to complete the scope of work within the specified period. Any delay work will be subject to penalty as per the liquidated damages clauses noted on Section 5A 
1.6.	Record Drawings and As Built Drawings: 
1.6.1.	Maintain a complete up-to-date set of record drawings and specifications on site throughout the duration of the project. 
1.6.2.	The project close out documents (including three (3) hard copies of Operation and Maintenance Manuals and CAD as-built drawings) must be submitted by the contractor and accepted by the City of Toronto Project Manager before the certificate of Substantial Performance can be issued by the consultant. 
1.7.	Reference Material 
1.7.1.	Pre-Renovation DSS Report included with Specifications. 
1.7.2.	City Policy for Construction Renovation Waste Diversion 
 
Please see document for more details
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Construction Services","March 7, 2019",33-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/Tender 33-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 2.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 3.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 4.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 5.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 6.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 7.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 8.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 9.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Web Attachment 10.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E5B8CA9C2A0C667985258392005621D6/$file/33-2019 - Addendum No. 1.pdf",***,Construction Services
,,,,,,,,,
"Buensuceso, Renato","The Contractor will be responsible for providing all the necessary resources to carry out, but not limited to, the following activities related to this project: 
 
The scope includes the supply and delivery of water meters and various appurtenances for installation in the City's water distribution system.  The meters provided must be compatible with Aclara meter telemetry units and in accordance with Specifications Section 11.
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Watermains - Water Services","March 5, 2019",0701-19-5014,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/055AE7AA5E2C244F852583A2006380A2/$file/0701-19-5014 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/055AE7AA5E2C244F852583A2006380A2/$file/0701-19-5014 Viewing Copy Only.pdf",***,"Storm Sewer Rehabilitation on West Humber River Trail, Toronto,"
,,,,,,,,,
